subjectID,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Cerebral-White-Matter,CSF,Left-Accumbens-area,Left-VentralDC,Left-Cerebral-Cortex,Left-choroid-plexus,Left-Lateral-Ventricle,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Left-Inf-Lat-Vent,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-choroid-plexus,Left-Cerebellum-White-Matter,WM-hypointensities,Left-Cerebellum-Cortex
sub-0025462,0.9728644369227238,0.9692028985507246,0.9521982659403054,0.9357187434990638,0.9764197940883428,0.9694965086365307,0.9849085872576178,0.953030469695303,0.9402241594022416,0.9405430397398897,0.9481065918653576,0.9251207729468599,0.9742465753424657,0.933817619870788,0.8070175438596491,0.9860595780769639,0.9561837241942867,0.9525582422498206,0.9878759364481923,0.907928388746803,0.9428896193665325,0.9693466574543739,0.9714035417057756,0.902638762511374,0.9641192411924119,0.9430589076606776,0.9457964601769911,0.9635117204776648,0.9638620689655173,0.8985507246376812,0.9620796565704746,0.8533988533988534,0.9641546711826136,0.7784200385356455,0.9753936140378991
sub-0027294,0.9831327779491926,0.9656445492769973,0.9803949424634181,0.972662440570523,0.9832134292565947,0.986897880539499,0.9904170436785391,0.9603238866396762,0.9664584779088596,0.987703362803278,0.9759519038076152,0.9388379204892966,0.9719685039370078,0.9724944586323039,0.8423194303153612,0.9793339951267936,0.9853573777413305,0.969886387761663,0.9755602692981648,0.8865979381443299,0.9777807885110419,0.98505070888574,0.9854185218165628,0.7923076923076923,0.9760542898691227,0.9867164798671648,0.9594048884165781,0.9718711781492051,0.9607390300230947,0.9490651192778853,0.973996723996724,0.860135551447936,0.9802389705882353,0.915124698310539,0.9823097187718126
sub-0025011,0.9471393471393471,0.9623023915687069,0.9602696353794301,0.9255908958272542,0.9508026929052305,0.9465500485908649,0.9709511568123393,0.9340009103322713,0.9403973509933775,0.9626213514337522,0.9096071935636536,0.8645833333333334,0.9300245274852114,0.952222541930813,0.6945500633713562,0.9568154402895054,0.971368701781122,0.9614798976252956,0.9715834428383706,0.8833922261484098,0.9572808193284531,0.9649955422674099,0.9722697197234407,0.8778801843317973,0.9751959902326179,0.9584761136867567,0.9298989240299967,0.944386149003148,0.9497206703910615,0.9255952380952381,0.9243049088732207,0.8144329896907216,0.9203128302684422,0.7895855472901169,0.944326612434111
sub-0027110,0.9618280965982862,0.9474741676234214,0.9673825141522149,0.9425398358281024,0.875,0.9337016574585635,0.9779461441945758,0.9409046692607004,0.9271441746080541,0.9668645954829816,0.8048533872598584,0.869406392694064,0.9461790790912404,0.9531684495701538,0.7463235294117647,0.900163666121113,0.9688514363653665,0.9561850570983136,0.866370808678501,0.7680798004987531,0.9591748234419527,0.967050111083683,0.9627282892284756,0.868421052631579,0.9280970257002599,0.9697534525120732,0.9289050337311884,0.9398839649425996,0.9230769230769231,0.876997915218902,0.949630314232902,0.7195121951219512,0.9595246499588187,0.7423887587822015,0.9637408517117737
sub-0027268,0.9667682774474039,0.9617384348753499,0.9636349657876528,0.9598432908912831,0.9562913907284768,0.9594446474241871,0.9728390400453076,0.9367116618720956,0.9149498151082938,0.9724671149607625,0.9193840579710145,0.8963545389563974,0.954,0.946787453027211,0.7743055555555556,0.9649252626905431,0.9703801701159331,0.9425072002012996,0.9698437689233378,0.9025844930417495,0.9532845900541386,0.9702142571085303,0.9756288867723683,0.6648351648351648,0.9616547719850006,0.9620838471023427,0.9092012133468149,0.9345167225890247,0.9499045801526718,0.8894192521877486,0.9608011444921316,0.7940935192780968,0.9629523591387998,0.8199918732222674,0.9724745077891657
sub-0025879,0.9738214148509962,0.9633088725817212,0.9763313609467456,0.9606953892668179,0.9698216735253772,0.9503599848427434,0.9717074576332235,0.9528431269121216,0.9404761904761905,0.9741500356789357,0.950666186532229,0.9203539823008849,0.9565043094808579,0.9555066149882763,0.7666068222621185,0.9794566750475256,0.9648547378253909,0.9424949219023604,0.9750276243093923,0.7557603686635944,0.9453612027869454,0.9711473284017565,0.9604411681953745,0.8194271481942715,0.9395339880608512,0.9581622987053995,0.9241326725123904,0.9389640382711977,0.9248648648648649,0.8888888888888888,0.9004294417257566,0.8238482384823849,0.9619788986103963,0.7969558599695586,0.9762201094361022
sub-0025631,0.9471370362427621,0.9391871848116286,0.9252514741588623,0.8667618853295246,0.8984492246123061,0.9285956006768189,0.976077885952712,0.9375501317749513,0.9208121827411168,0.9399306672874204,0.8859489051094891,0.856156501726122,0.9353570648613234,0.9301237681396073,0.7122994652406417,0.9484634472227524,0.933829090563252,0.922131570635049,0.9470404984423676,0.8452012383900929,0.9143278599433252,0.9580450488737782,0.9488282089873146,0.7474747474747475,0.9571339173967459,0.950596553247901,0.9117451891174518,0.9342062193126023,0.923411452041556,0.9018567639257294,0.9285794120934392,0.7068004459308808,0.9451555237754737,0.6548323471400395,0.9636966060714606
sub-0027094,0.9669059709332867,0.9521330441070137,0.9713609867365042,0.9481517042726836,0.9482758620689655,0.9781433607520564,0.9862459546925566,0.9508196721311475,0.9387302467424452,0.9806336283770394,0.9199711607786589,0.926681783824641,0.9576192681797129,0.9677489929156827,0.7282051282051282,0.9445749827228749,0.9790994505998383,0.9656755138694871,0.9448130765496034,0.8466257668711656,0.9686667711107629,0.9789492337968793,0.9684626303770907,0.8171334431630972,0.9432897862232779,0.9736038223545077,0.9524737996587862,0.9474018414647053,0.9049941927990709,0.9374570446735395,0.9554889554889555,0.7452229299363057,0.9707518796992481,0.8103161397670549,0.9778024000450712
sub-0025436,0.9248404888071807,0.9557321225879682,0.9559669302659957,0.8871391076115486,0.9001601708489055,0.8961646398503275,0.9657315380038345,0.907471017604122,0.8070289619264562,0.9707922524339789,0.892925430210325,0.8966971187631764,0.9146725808334306,0.9294314795452088,0.6944114149821641,0.9749824941116557,0.9698743979601473,0.9296549618417725,0.9556483868100614,0.6855241264559068,0.9546552186745372,0.9680283586413757,0.9525391551969625,0.7178631051752922,0.9560378408458542,0.9623173093854552,0.9307652264445602,0.9208983294612236,0.8234984193888304,0.8359861591695502,0.887481285270068,0.745674740484429,0.9557598039215687,0.7546666666666667,0.9583202186697589
sub-0027012,0.941533337298519,0.902507790473364,0.8656865686568657,0.7333619579218549,0.9459459459459459,0.9453394706559264,0.972556792193932,0.9374045801526718,0.9314565483476133,0.9319746727954071,0.8885191347753744,0.7842669845053635,0.9244599490138199,0.9443850750798258,0.616822429906542,0.8985296787075694,0.9311384002655161,0.9439725590299937,0.9354054054054054,0.8081841432225064,0.9029528426619656,0.9606447683489492,0.9467673370978998,0.7263157894736842,0.9265680056377731,0.9384970032272937,0.8858811040339702,0.9404639469774883,0.9342736248236954,0.8881069669247009,0.9309469101463297,0.635743519781719,0.9272357892118247,0.736936936936937,0.9608016309955181
